	S_O2	S_F	S_NH4	S_NO2	S_NO3	S_NO	S_N2O	S_N2	X_S	X_H	X_I	S_PO4	X_PAO	X_PP	X_PHA	S_Ac	
Hydrolysis		1	i_NXS						(-1)								k_H*(X_S/(X_H)/k_X+(X_S/X_H))*X_H
Aerobic growth of HB	((-1-Y_H)/(Y_H))	(-1)/Y_H	(-i_NBM)							1							mu_H*(S_O2/(k_OH1+S_O2))*(S_F/(k_S1+S_F))*X_H
Anoixic growth of HB with nitrate reduction		(-1)/Y_H	(-i_NBM)	((1-Y_H)/(1.14*Y_H))	((-1-Y_H)/(1.14*Y_H))					1							mu_H*nu_H1*(k_OH2/(k_OH2+S_O2))*(S_NO3/(k_HB_NO3*S_F))*(S_F/(k_S2+S_F))*X_H
Anoxic growth of HB with nitrite reduction		(-1)/Y_H	(-i_NBM)	((-1-Y_H)/(.57*Y_H))		((1-Y_H)/(.57*Y_H))				1							mu_H*nu_H2*(k_OH3/(k_OH3+S_O2))*(S_NO2/(k_HB_NO2*S_NO2))*(S_F/(k_S3+S_F))*(k_HB_I1_NO/(k_HB_I1_NO+S_NO))*X_H
Anoixic growth of HB with NO reduction		(-1)/Y_H	(-i_NBM)			((-1-Y_H)/(.57*Y_H))	((1-Y_H)/(.57*Y_H))			1							mu_H*nu_H3*(k_OH4/(k_OH4+S_O2))*(S_NO/(k_HB_NO+S_NO+(S_NO*S_NO)/k_HB_I2_NO))*(S_F/(k_S4+S_F))*X_H
Anoxic growth of HB with N2O reduction		(-1)/Y_H	(-i_NBM)				((-1-Y_H)/(.57*Y_H))	((1-Y_H)/(.57*Y_H))		1							mu_H*nu_H4*(k_OH5/(k_OH5+S_O2))*(S_N2O/(k_HB_N2O*S_N2O))*(S_F/(k_S5+S_F))*(k_HB_I3_NO/(k_HB_I3_NO+S_NO))*X_H
Decay of HB			i_NBM-(i_NXS*f_I)						1-f_I	-1	f_I						b_H*X_H
Storage of XPHA		(-1)	?									Y_PO4		(-Y_PO4)	1	-1	q_PHA*S_Ac/(k_A+S_Ac)*S_ALK/(k_ALK+S_ALK)*(X_PP/X_PAO)/(k_PP+X_PP/X_PAO)*X_PAO
Aerobic Strogage of XPP	(-Y_PHA)		?									(-1)		1	(-Y_PHA)		q_PP*S_O2/(k_O2+S_O2)*S_PO4/(k_PS+S_PO4)*S_ALK/(k_ALK+S_ALK)*(X_PHA/X_PAO)/(k_PHA+X_PHA/X_PAO)*(k_MAX-X_PP/X_PAO)/(k_IPP+k_MAX-X_PP/X_PAO)*X_PAO
Anoxic Storage of XPP			?									(-1)		1	(-Y_PHA)		(q_PP*S_O2/(k_O2+S_O2)*S_PO4/(k_PS+S_PO4)*S_ALK/(k_ALK+S_ALK)*(X_PHA/X_PAO)/(k_PHA+X_PHA/X_PAO)*(k_MAX-X_PP/X_PAO)/(k_IPP+k_MAX-X_PP/X_PAO)*X_PAO)*n_NO3*(k_O2/S_O2)*(S_NO3/(k_NO3+S_NO3))
Aerobic Strogage of XPAO			?									(-i_PBM)	1		(-1)/(Y_H)		mu_PAO*S_O2/(k_O2+S_O2)*S_NH4/(k_NH4+S_NH4)*S_PO4/(k_P+S_PO4)*S_ALK/(k_ALK+S_ALK)*(X_PHA/X_PAO)/(k_PHA+X_PHA/X_PAO)*X_PAO
Anoxic Storage of XPAO			?									(-i_PBM)	1		(-1)/(Y_H)		mu_PAO*S_O2/(k_O2+S_O2)*S_NH4/(k_NH4+S_NH4)*S_PO4/(k_P+S_PO4)*S_ALK/(k_ALK+S_ALK)*(X_PHA/X_PAO)/(k_PHA+X_PHA/X_PAO)*X_PAO*n_NO3*(k_O2/S_O2)*(S_NO3/(k_NO3+S_NO3))
Lysis of XPAO			?						f_XI		1-f_XI	?	-1				b_PAO*X_PAO*S_ALK/(k_ALK+S_ALK)
Lysis of XPP			?									1		-1			b_PP*X_PP*S_ALK/(k_ALK+S_ALK)
Lysis of XPHA			?												-1	1	b_PHA*X_PHA*S_ALK/(k_ALK+S_ALK)
